#wave = wavelength (um)
#flux = flux (W/cm^2/um)
#stdev = standard deviation of flux measurement (W/cm^2/um)
#det = LWS detector number (0-9)
#
#wave    flux         stdev           det
 53.5998  1.18014e-17  2.02686e-19      1
 53.6704  1.20818e-17  1.93820e-19      1
 53.6704  1.18020e-17  1.89132e-19      1
 53.7409  1.18145e-17  1.42947e-19      1
 53.7409  1.19357e-17  2.12420e-19      1
 53.8113  1.15290e-17  1.95001e-19      1
 53.8113  1.22137e-17  2.13614e-19      1
 53.8817  1.15555e-17  2.01930e-19      1
 53.8817  1.16961e-17  2.16252e-19      1
 53.9520  1.14737e-17  1.98477e-19      1
 53.9520  1.17492e-17  2.05107e-19      1
 54.0222  1.12826e-17  1.82975e-19      1
 54.0222  1.15453e-17  1.27670e-19      1
 54.0924  1.15205e-17  1.50296e-19      1
 54.0924  1.11373e-17  1.61425e-19      1
 54.1625  1.10598e-17  1.31381e-19      1
 54.1625  1.06594e-17  1.86517e-19      1
 54.2326  1.06353e-17  1.93507e-19      1
 54.2326  1.05540e-17  1.76909e-19      1
 54.3025  1.01737e-17  1.91863e-19      1
 54.3025  1.10485e-17  1.33435e-19      1
 54.3725  1.07657e-17  1.92827e-19      1
 54.3725  1.10719e-17  1.61711e-19      1
 54.4423  1.10793e-17  1.79914e-19      1
 54.4423  1.12704e-17  1.31932e-19      1
 54.5121  1.17646e-17  1.51322e-19      1
 54.5121  1.15952e-17  1.44284e-19      1
 54.5749  1.19885e-17  2.17898e-19      1
 54.5750  1.18302e-17  1.70574e-19      1
 54.6446  1.18044e-17  1.84278e-19      1
 54.6446  1.21652e-17  1.52832e-19      1
 54.7143  1.16824e-17  2.05815e-19      1
 54.7143  1.19384e-17  1.57008e-19      1
 54.7839  1.16796e-17  1.64740e-19      1
 54.7839  1.19519e-17  1.42776e-19      1
 54.8534  1.16743e-17  1.79646e-19      1
 54.8534  1.15424e-17  1.87298e-19      1
 54.9229  1.17444e-17  1.77815e-19      1
 54.9229  1.18059e-17  2.32334e-19      1
 54.9923  1.17703e-17  2.01377e-19      1
 54.9923  1.21523e-17  1.41684e-19      1
 55.0617  1.15492e-17  1.78490e-19      1
 55.0617  1.20953e-17  1.73252e-19      1
 55.1310  1.17021e-17  1.66740e-19      1
 55.1310  1.17845e-17  1.99096e-19      1
 55.2002  1.17564e-17  1.68139e-19      1
 55.2002  1.15127e-17  1.51866e-19      1
 55.2695  1.16663e-17  1.78939e-19      1
 55.2695  1.19519e-17  1.55064e-19      1
 55.3386  1.16156e-17  1.37178e-19      1
 55.3386  1.14445e-17  1.70540e-19      1
 55.4078  1.18164e-17  2.02821e-19      1
 55.4078  1.15952e-17  1.82724e-19      1
 55.4768  1.15169e-17  1.66086e-19      1
 55.4768  1.16884e-17  1.66512e-19      1
