#wave = wavelength (um)
#flux = flux (W/cm^2/um)
#stdev = standard deviation of flux measurement (W/cm^2/um)
#det = LWS detector number (0-9)
#line = LWS line number (0-9)
#
#wave    flux         stdev           det   line
 56.1728  1.40654e-18  2.39865e-19      1      0
 56.2408  1.38484e-18  2.69225e-19      1      0
 56.3088  1.07943e-18  3.01578e-19      1      0
 56.3767  1.13176e-18  2.91998e-19      1      0
 56.4446  1.02021e-18  1.97338e-19      1      0
 56.5125  1.50111e-18  2.90778e-19      1      0
 56.5803  1.21143e-18  1.68858e-19      1      0
 56.6482  1.27857e-18  2.81663e-19      1      0
 56.7159  2.34907e-18  1.08909e-19      1      0
 56.7837  1.06433e-18  2.35248e-19      1      0
 65.4192  1.33284e-18  1.17677e-19      2      0
 65.4870  1.24473e-18  4.47661e-20      2      0
 65.5547  1.16269e-18  1.06785e-19      2      0
 65.6224  1.24867e-18  3.30348e-20      2      0
 65.6833  1.03178e-18  4.64292e-20      2      0
 65.7508  1.33005e-18  6.20831e-20      2      0
 65.8184  1.33771e-18  1.42855e-19      2      0
 65.8858  1.06325e-18  1.39202e-19      2      0
 65.9533  1.32459e-18  4.03749e-20      2      0
 66.0207  1.13340e-18  8.31799e-20      2      0
 66.0880  1.29153e-18  5.81701e-20      2      0
 66.1553  1.21522e-18  1.14008e-19      2      0
 66.2226  1.12627e-18  9.83279e-20      2      0
 66.2898  1.13691e-18  5.36269e-20      2      0
 66.3570  1.14671e-18  8.33913e-20      2      0
 66.4241  1.14547e-18  1.25934e-20      2      0
 66.4912  1.00757e-18  2.60157e-20      2      0
 66.5583  1.24632e-18  8.29898e-20      2      0
 66.6253  1.17114e-18  6.09019e-20      2      0
 66.6923  1.10975e-18  6.11273e-20      2      0
 75.0203  1.36283e-18  1.82576e-19      3      0
 75.0863  8.23086e-19  1.72936e-19      3      0
 75.1523  1.24871e-18  1.85131e-19      3      0
 75.2182  1.11115e-18  1.73445e-19      3      0
 75.2774  1.37257e-18  1.83649e-19      3      0
 75.3432  1.57634e-18  2.03354e-19      3      0
 75.4090  1.01225e-18  2.14537e-19      3      0
 75.4747  8.87729e-19  2.04767e-19      3      0
 75.5403  1.19464e-18  1.07629e-19      3      0
 75.6059  1.20838e-18  2.57319e-19      3      0
 75.6714  1.18157e-18  1.33718e-19      3      0
 75.7369  8.47696e-19  2.06408e-19      3      0
 75.8024  1.37149e-18  7.68461e-20      3      0
 75.8678  1.33913e-18  2.11720e-19      3      0
 75.9331  1.15377e-18  2.04614e-19      3      0
 75.9984  1.34636e-18  1.88546e-19      3      0
 76.0637  1.22034e-18  1.73527e-19      3      0
 76.1289  9.83199e-19  1.46914e-19      3      0
 76.1941  1.35432e-18  2.07638e-19      3      0
 76.2592  1.12969e-18  2.86059e-19      3      0
 84.1496  1.31122e-18  1.90397e-19      4      0
 84.2128  1.71024e-18  1.73768e-19      4      0
 84.2759  1.53138e-18  1.46082e-19      4      0
 84.3390  1.58359e-18  1.46933e-19      4      0
 84.3957  1.41905e-18  8.46002e-20      4      0
 84.4586  1.86382e-18  7.18630e-20      4      0
 84.5215  1.51472e-18  1.27428e-19      4      0
 84.5843  1.42151e-18  1.23064e-19      4      0
 84.6471  1.47766e-18  3.34596e-20      4      0
 84.7098  1.09465e-18  8.50155e-20      4      0
 84.7725  1.57834e-18  1.47576e-19      4      0
 84.8351  1.46910e-18  1.65014e-19      4      0
 84.8977  1.40910e-18  1.08870e-19      4      0
 84.9602  1.54724e-18  1.59948e-19      4      0
 85.0227  1.29231e-18  1.67840e-19      4      0
 85.0851  1.45946e-18  2.29355e-19      4      0
 85.1475  9.17871e-19  7.23600e-20      4      0
 85.2098  1.16205e-18  9.92496e-20      4      0
 85.2721  1.54628e-18  2.04068e-19      4      0
 85.3343  1.56760e-18  1.13485e-19      4      0
101.0131  9.49643e-19  3.91458e-20      5      0
101.1498  9.70653e-19  2.31519e-20      5      0
101.2865  8.79663e-19  3.80996e-20      5      0
101.4230  9.66911e-19  4.57790e-20      5      0
